k_global,outer_j,inner_t,Vr,Vv,max_speed,mean_speed,dmin_agents,dmin_obstacles,n_F,n_C,n_O,n_CO,n_T,_h_pair_num,_circle_barrier_num
0,0,0,0.0,0.0,0.0,0.0,0.0,0.17282144815883616,0,0,0,0,4,48,16
1,0,1,0.0,0.0,0.0,0.0,0.0,0.17282144815883616,0,0,0,4,0,48,16
2,0,2,0.0,0.0,0.0,0.0,0.0,1.4468841884636485,0,0,0,4,0,48,16
3,0,3,0.10000000000000007,0.0,0.0,0.0,0.0,1.4426526002945077,0,0,0,4,0,48,16
4,0,4,0.3464048763790615,0.0,0.0,0.0,0.0,1.4426526002945077,0,0,0,4,0,48,16
5,0,5,0.3464048763790615,0.0,0.0,0.0,0.0,1.4426526002945077,0,0,0,4,0,48,16
6,0,6,0.3464048763790615,0.0,0.0,0.0,0.0,1.4426526002945077,0,0,0,4,0,48,16
7,1,0,1.2745267030611076,0.0,0.0,0.0,0.3156275337890857,1.4426526002945077,0,0,0,0,4,48,0
8,1,1,3.766182414778501,0.0,0.0,0.0,0.34309275553997753,-0.09663300065334202,0,4,0,0,0,48,0
9,1,2,3.034925961908327,0.0,0.0,0.0,1.3061329129517718,0.5644529882520204,0,3,0,0,1,36,4
10,1,3,3.030766505861099,0.0,0.0,0.0,1.300137278150079,0.5644529882520204,0,0,1,0,3,0,4
11,1,4,3.0308882978082266,0.0,0.0,0.0,1.3003136223399816,0.5644529882520204,3,0,1,0,0,0,4
12,1,5,3.0933300151919605,0.0,0.0,0.0,1.3003046585697773,0.6742976714393891,3,0,1,0,0,0,4
13,1,6,3.1012745519926694,0.0,0.0,0.0,1.3002980221195886,0.6458746361057424,3,0,1,0,0,0,4
14,2,0,3.1012745519926694,0.0,0.0,0.0,1.3002981403169018,0.6458746361057424,3,0,1,0,0,0,4
15,2,1,3.1012745519926694,0.0,0.0,0.0,1.3673381895070227,0.6458746361057424,3,0,1,0,0,0,4
16,2,2,3.436791152013815,0.0,0.0,0.0,1.239065258771149,1.4469272666128745,3,0,1,0,0,0,4
17,2,3,3.4653056361634826,0.0,0.0,0.0,1.2813012064083635,1.4469175246198258,3,0,0,0,1,0,0
18,2,4,3.466394885365937,0.0,0.0,0.0,1.2822714750479913,1.447559712000479,4,0,0,0,0,0,0
19,2,5,3.466394885365937,0.0,0.0,0.0,1.2822714750479913,1.447559712000479,4,0,0,0,0,0,0
20,2,6,3.466396489139608,0.0,0.0,0.0,1.2822730009029928,1.4475636899161972,4,0,0,0,0,0,0
21,3,0,3.5185344362212736,0.0,0.0,0.0,0.8778139129904474,0.940618530813905,4,0,0,0,0,0,0
