outer_j,agent,model,M,objective_primary,lex_used,phi_terminal,ri_terminal,r_term0,r_term1,diam_C,t_primary_ms,t_lex_ms,t_total_ms,n_var_primary,n_eq_primary,n_ineq_primary,n_var_lex,n_eq_lex,n_ineq_lex,nominal_fallback_used,nominal_status,bary_r0,bary_r1
0,1,single_integrator,7,3.992910335881416,0,0.29483824683779336,1,0.5890452296453911,4.8864420451326e-17,1.7677669529663689,80.92563999525737,0.0,80.92563999525737,17,3,64,0,0,0,1,nan,0.5892556509887896,-2.7755575615628914e-17
0,2,single_integrator,7,4.492024127866591,0,0.624776813802169,1,-0.4417839211748574,0.4417839223604199,1.25,67.76274100411683,0.0,67.76274100411683,16,3,63,0,0,0,1,nan,-0.44194173824159216,0.4419417382415922
0,3,single_integrator,7,3.992910335881416,0,0.2948382468377936,1,-0.5890452296453909,2.3857154609294175e-16,1.7677669529663689,67.17658399429638,0.0,67.17658399429638,17,3,64,0,0,0,1,nan,-0.5892556509887896,4.348149725963587e-17
0,4,single_integrator,7,3.9929103358814158,0,0.2948382468377937,1,4.165896126562616e-16,-0.5890452296453907,1.7677669529663689,73.61174700054107,0.0,73.61174700054107,17,3,64,0,0,0,1,nan,-8.476763625394438e-17,-0.5892556509887896
1,1,single_integrator,7,3.2048492516685414,0,0.2630236936180876,1,0.8224743435161841,-2.7222800010956614,2.0403278144880637,39.21232200082159,0.0,39.21232200082159,17,3,64,0,0,0,1,nan,0.8226595122316304,-2.7222446182216866
1,2,single_integrator,7,5.228460697279178,0,0.3361959715173928,1,0.23342626835195804,-2.1332287875643154,1.588528053668998,38.13107500172919,0.0,38.13107500172919,17,3,64,0,0,0,1,nan,0.2334038612428408,-2.132988967232897
1,3,single_integrator,7,3.2445564033311523,0,0.2651327336592793,1,-0.42369544983119034,-2.628914137009059,2.0403278144880637,33.00851899984991,0.0,33.00851899984991,17,3,64,0,0,0,1,nan,-0.4238825294950386,-2.628945395632382
1,4,single_integrator,7,5.410669965076064,0,0.34217561497553994,1,0.16800644798473846,-3.2235521405500744,1.588528053668998,32.74703699571546,0.0,32.74703699571546,17,3,64,0,0,0,1,nan,0.16803073974908964,-3.2237958208130375
2,1,single_integrator,7,7.786806045790138,0,0.2655943193835539,1,0.3999249010150949,-3.1054316167860248,2.3875768977812077,29.40551199571928,0.0,29.40551199571928,17,3,64,0,0,0,1,nan,0.39989165938977406,-3.1051395428820947
2,2,single_integrator,7,6.586536785207989,0,0.24552396907564225,1,-0.16324249496178656,-2.0648620730088902,2.5159108777544668,33.67135699954815,0.0,33.67135699954815,17,3,64,0,0,0,1,nan,-0.1634214801037901,-2.0646594969231136
