k_global,outer_j,inner_t,agent,r0,r1,v0,v1,u0,u1
0,0,0,1,0.09999999999999999,-1.270620473617471,0.0,0.0,2.0,-2.0
0,0,0,2,0.09999999999999999,-1.270620473617471,0.0,0.0,2.0,-2.0
0,0,0,3,0.09999999999999999,-1.270620473617471,0.0,0.0,2.0,-2.0
0,0,0,4,0.09999999999999999,-1.270620473617471,0.0,0.0,2.0,-2.0
1,0,1,1,0.09999999999999999,-1.270620473617471,0.0,0.0,2.0,-2.0
1,0,1,2,0.09999999999999999,-1.270620473617471,0.0,0.0,2.0,-2.0
1,0,1,3,0.09999999999999999,-1.270620473617471,0.0,0.0,2.0,-2.0
1,0,1,4,0.09999999999999999,-1.270620473617471,0.0,0.0,2.0,-2.0
2,0,2,1,0.2000000000000001,-2.541240947234943,0.0,0.0,2.0,-2.0
2,0,2,2,0.2000000000000001,-2.541240947234943,0.0,0.0,2.0,-2.0
2,0,2,3,0.2000000000000001,-2.541240947234943,0.0,0.0,2.0,-2.0
2,0,2,4,0.2000000000000001,-2.541240947234943,0.0,0.0,2.0,-2.0
3,0,3,1,0.2000000000000001,-2.541240947234943,0.0,0.0,2.0,-1.5402020758680965
3,0,3,2,0.2000000000000001,-2.541240947234943,0.0,0.0,2.0,-1.5279368790342827
3,0,3,3,0.10000000000000002,-2.541240947234943,0.0,0.0,2.0,-1.616325226682601
3,0,3,4,0.10000000000000002,-2.541240947234943,0.0,0.0,2.0,-1.734176356880359
4,0,4,1,0.3040922192472691,-2.821138615002857,0.0,0.0,2.0,-1.5402020758680965
4,0,4,2,0.29611936448125314,-2.804354292427259,0.0,0.0,2.0,-1.5279368790342827
4,0,4,3,0.10000000000000002,-2.541240947234943,0.0,0.0,-2.0,-1.6029818705512078
4,0,4,4,0.10000000000000002,-2.541240947234943,0.0,0.0,-2.0,-1.7208330007489658
5,0,5,1,0.3040922192472691,-2.821138615002857,0.0,0.0,2.0,-2.0
5,0,5,2,0.29611936448125314,-2.804354292427259,0.0,0.0,2.0,-2.0
5,0,5,3,0.10000000000000002,-2.541240947234943,0.0,0.0,2.0,2.0
5,0,5,4,0.10000000000000002,-2.541240947234943,0.0,0.0,2.0,2.0
6,0,6,1,0.3040922192472691,-2.821138615002857,0.0,0.0,2.0,-2.0
6,0,6,2,0.29611936448125314,-2.804354292427259,0.0,0.0,2.0,-2.0
6,0,6,3,0.10000000000000002,-2.541240947234943,0.0,0.0,2.0,2.0
6,0,6,4,0.10000000000000002,-2.541240947234943,0.0,0.0,2.0,2.0
7,1,0,1,0.45435403996823664,-3.7655168684120306,0.0,0.0,2.0,-2.0
7,1,0,2,0.4119792942557426,-3.124215235853214,0.0,0.0,2.0,-2.0
7,1,0,3,0.10000000000000002,-2.541240947234943,0.0,0.0,2.0,2.0
7,1,0,4,0.13266010917421514,-2.9772406362409956,0.0,0.0,2.0,2.0
8,1,1,1,0.49899488215282517,-3.923586776796457,0.0,0.0,2.0,-2.0
8,1,1,2,0.4302800888997151,-3.072115189430846,0.0,0.0,2.0,-2.0
8,1,1,3,-1.2327646500287484,-0.5791677085448304,0.0,0.0,-2.0,2.0
8,1,1,4,0.0970856715667791,-2.990297592532745,0.0,0.0,-2.0,-2.0
9,1,2,1,0.49899488215282517,-3.923586776796457,0.0,0.0,2.0,-2.0
9,1,2,2,0.3343924355081245,-2.627867200323809,0.0,0.0,2.0,2.0
9,1,2,3,-1.17438836028451,-1.391677592367621,0.0,0.0,-2.0,-2.0
9,1,2,4,-1.3987841224525106,-2.7609496382345697,0.0,0.0,-2.0,2.0
10,1,3,1,0.4929965568147514,-3.922561459967908,0.0,0.0,-0.0072179594327618285,-0.001376516042748679
10,1,3,2,0.3377580583469588,-2.631725315978687,0.0,0.0,0.0008729349081350528,-0.00934477162622879
10,1,3,3,-1.17438836028451,-1.391677592367621,0.0,0.0,-1.3054017186120623,-1.1290943158472453
10,1,3,4,-1.3987841224525106,-2.7609496382345697,0.0,0.0,-0.000946923882234357,0.009500510837852834
11,1,4,1,0.49293756660556864,-3.9227461665692345,0.0,0.0,-0.0017871884834939683,-0.00034082225112859173
11,1,4,2,0.3377580583469588,-2.631725315978687,0.0,0.0,0.00021614697962995098,-0.0023137844482267354
11,1,4,3,-1.17438836028451,-1.391677592367621,0.0,0.0,-1.3062246841028289,-1.12923208965689
11,1,4,4,-1.3987841224525106,-2.7609496382345697,0.0,0.0,-0.0002344603988148757,0.0023523587581488693
12,1,5,1,0.49293756660556864,-3.9227461665692345,0.0,0.0,-8.1849397991523e-06,-1.5470137374567601e-06
12,1,5,2,0.33775454752901624,-2.631734766275437,0.0,0.0,9.910430713281448e-07,-1.0585477080513817e-05
12,1,5,3,-1.3386552776762248,-1.4299649415791182,0.0,0.0,-1.306494269961734,-1.1292772203679
12,1,5,4,-1.3987889508651794,-2.760940564945828,0.0,0.0,-1.0741179406852489e-06,1.0784399305853148e-05
13,1,6,1,0.49293756660556864,-3.9227461665692345,0.0,0.0,-7.442692258180002e-06,-1.3963518123190762e-06
13,1,6,2,0.33775797990575984,-2.631741037919549,0.0,0.0,9.004160442915581e-07,-9.617147550300826e-06
13,1,6,3,-1.3209599868226989,-1.4072582392469275,0.0,0.0,-1.2739231345949795,-0.9135586514660943
13,1,6,4,-1.3987875213083754,-2.7609314241575014,0.0,0.0,-9.769875462662848e-07,9.812361220880273e-06
14,2,0,1,0.49293756660556864,-3.9227461665692345,0.0,0.0,-0.0755749865004631,0.6640829465279161
14,2,0,2,0.3377591957123203,-2.63174077273135,0.0,0.0,-0.4070720076859779,0.46059890685384763
14,2,0,3,-1.3209599868226989,-1.4072582392469275,0.0,0.0,-1.3017412890305766,-1.0599871753983945
14,2,0,4,-1.405637740343087,-2.771971909781184,0.0,0.0,0.5332419432159468,-0.4266651767503631
15,2,1,1,0.49293756660556864,-3.9227461665692345,0.0,0.0,-0.019176147317499847,0.16850661610006612
15,2,1,2,0.3187632256078846,-2.5325488007762993,0.0,0.0,-0.10329181567268518,0.11687447009514114
15,2,1,3,-1.3209599868226989,-1.4072582392469275,0.0,0.0,-1.2960778356987162,-0.9818522089779999
15,2,1,4,-1.405637740343087,-2.771971909781184,0.0,0.0,0.1353065808395415,-0.10826404724945479
16,2,2,1,0.49293756660556864,-3.9227461665692345,0.0,0.0,0.00011988419843047456,-0.0010523160466915163
16,2,2,2,0.31874843058148944,-2.53257589764802,0.0,0.0,0.000645042038695357,-0.000729726784524693
16,2,2,3,-2.586584855219729,-2.3969430744122886,0.0,0.0,-1.2941400340462497,-0.9551187278361508
16,2,2,4,-1.405637740343087,-2.771971909781184,0.0,0.0,-0.0008449787168965591,0.0006759271238489479
17,2,3,1,0.4895106410577465,-3.9247203351579385,0.0,0.0,0.0012951198792424286,-0.011380319708965973
17,2,3,2,0.3187505920425574,-2.5325659210448928,0.0,0.0,0.006975946317343633,-0.007893236226156836
17,2,3,3,-2.646556897289621,-2.45046677930322,0.0,0.0,0.0008670383571376672,0.011961833518106672
17,2,3,4,-1.4059722312747878,-2.7709078315927047,0.0,0.0,-0.009138109221310373,0.007311707434181633
18,2,4,1,0.4895106410577465,-3.9247203351579385,0.0,0.0,0.000320665826751116,-0.0028177823140182446
18,2,4,2,0.3203410693778279,-2.53306687022462,0.0,0.0,0.0017272579540557685,-0.0019543859725707274
18,2,4,3,-2.6473128596695754,-2.4495146455756625,0.0,0.0,0.00021469021334327002,0.0029617769685271115
18,2,4,4,-1.4059722312747878,-2.7709078315927047,0.0,0.0,-0.0022626109470142704,0.0018104078785191728
19,2,5,1,0.4895106410577465,-3.9247203351579385,0.0,0.0,1.4657494955546692e-06,-1.2887256104816286e-05
19,2,5,2,0.3203410693778279,-2.53306687022462,0.0,0.0,7.909443561307569e-06,-8.94141128885775e-06
19,2,5,3,-2.6473128596695754,-2.4495146455756625,0.0,0.0,9.895380787241302e-07,1.3569192726648037e-05
19,2,5,4,-1.4059722312747878,-2.7709078315927047,0.0,0.0,-1.0352456399444422e-05,8.304931060507232e-06
20,2,6,1,0.4895106410577465,-3.9247203351579385,0.0,0.0,1.3325735697115567e-06,-1.1707518992206793e-05
20,2,6,2,0.3203408531731938,-2.5330708840610736,0.0,0.0,7.192737460643169e-06,-8.121643788508806e-06
20,2,6,3,-2.647314195632929,-2.4495137178192294,0.0,0.0,9.028169200857928e-07,1.2343120057940023e-05
20,2,6,4,-1.4059722312747878,-2.7709078315927047,0.0,0.0,-9.406546711961368e-06,7.5622509488506506e-06
21,3,0,1,0.4895106410577465,-3.9247203351579385,0.0,0.0,-0.08037954561375524,0.6891644362193612
21,3,0,2,-0.23860484687940398,-2.031242117841227,0.0,0.0,-0.7576690373124993,0.1244529776535257
21,3,0,3,-2.6665249696128974,-2.3692384795730743,0.0,0.0,0.6609452727038935,-0.10963685386185212
