k_global,outer_j,inner_t,agent,mode,desired_mode,effective_mode,d_agent_min,d_obs_min,active_pairs,active_obstacles,obstructed,waypoint0,waypoint1,_h_pair_num,_circle_barrier_num,formation_hold_active
0,0,0,1,T,CO,CO,0.0,-1.1,3,1,1,0.9,-2.4000000000000004,12,4,0
0,0,0,2,T,CO,CO,0.0,-1.1,3,1,1,-0.9,-2.4000000000000004,12,4,0
0,0,0,3,T,CO,CO,0.0,-1.1,3,1,1,-0.9,-2.4000000000000004,12,4,0
0,0,0,4,T,CO,CO,0.0,-1.1,3,1,1,-0.9,-2.4000000000000004,12,4,0
1,0,1,1,CO,CO,CO,0.0,0.17282144815883616,3,1,1,1.0487222514494454,-2.3571091193636833,12,4,0
1,0,1,2,CO,CO,CO,0.0,0.17282144815883616,3,1,1,-0.7495346489429427,-2.436305837674228,12,4,0
1,0,1,3,CO,CO,CO,0.0,0.17282144815883616,3,1,1,-0.7495346489429427,-2.436305837674228,12,4,0
1,0,1,4,CO,CO,CO,0.0,0.17282144815883616,3,1,1,-0.7495346489429427,-2.436305837674228,12,4,0
2,0,2,1,CO,CO,CO,0.0,0.17282144815883616,3,1,1,1.0487222514494454,-2.3571091193636833,12,4,0
2,0,2,2,CO,CO,CO,0.0,0.17282144815883616,3,1,1,-0.7495346489429427,-2.436305837674228,12,4,0
2,0,2,3,CO,CO,CO,0.0,0.17282144815883616,3,1,1,-0.7495346489429427,-2.436305837674228,12,4,0
2,0,2,4,CO,CO,CO,0.0,0.17282144815883616,3,1,1,-0.7495346489429427,-2.436305837674228,12,4,0
3,0,3,1,CO,CO,CO,0.0,1.4468841884636485,3,1,1,1.09028562733719,-2.343841690454552,12,4,0
3,0,3,2,CO,CO,CO,0.0,1.4468841884636485,3,1,1,-0.7068504973085742,-2.445339224873891,12,4,0
3,0,3,3,CO,CO,CO,0.0,1.4468841884636485,3,1,1,-0.7068504973085742,-2.445339224873891,12,4,0
3,0,3,4,CO,CO,CO,0.0,1.4468841884636485,3,1,1,-0.7068504973085742,-2.445339224873891,12,4,0
4,0,4,1,CO,CO,CO,0.0,1.4468841884636485,3,1,1,1.09028562733719,-2.343841690454552,12,4,0
4,0,4,2,CO,CO,CO,0.0,1.4468841884636485,3,1,1,-0.7068504973085742,-2.445339224873891,12,4,0
4,0,4,3,CO,CO,CO,0.0,1.4426526002945077,3,1,1,-0.8036680910441973,-2.424049882732052,12,4,0
4,0,4,4,CO,CO,CO,0.0,1.4426526002945077,3,1,1,-0.8036680910441973,-2.424049882732052,12,4,0
5,0,5,1,CO,CO,CO,0.01858170867928234,1.733219585788516,3,1,1,1.1668880946780347,-2.317886703083556,12,4,0
5,0,5,2,CO,CO,CO,0.01858170867928234,1.7158614047591518,3,1,1,-0.6334383688395084,-2.4595889687767745,12,4,0
5,0,5,3,CO,CO,CO,0.0,1.4426526002945077,3,1,1,-0.8036680910441973,-2.424049882732052,12,4,0
5,0,5,4,CO,CO,CO,0.0,1.4426526002945077,3,1,1,-0.8036680910441973,-2.424049882732052,12,4,0
6,0,6,1,CO,CO,CO,0.01858170867928234,1.733219585788516,3,1,1,1.1668880946780347,-2.317886703083556,12,4,0
6,0,6,2,CO,CO,CO,0.01858170867928234,1.7158614047591518,3,1,1,-0.6334383688395084,-2.4595889687767745,12,4,0
6,0,6,3,CO,CO,CO,0.0,1.4426526002945077,3,1,1,-0.8036680910441973,-2.424049882732052,12,4,0
6,0,6,4,CO,CO,CO,0.0,1.4426526002945077,3,1,1,-0.8036680910441973,-2.424049882732052,12,4,0
7,1,0,1,T,C,C,0.01858170867928234,1.733219585788516,3,1,0,1.1668880946780347,-2.317886703083556,12,0,0
