k_global,outer_j,inner_t,agent,x_m,y_m,theta_deg,v_cmd_ms,omega_cmd_rads,ux_mpc_ms,uy_mpc_ms,heading_error_deg
0,0,0,1,0.0,0.0,0.0,2.0,-3.141593,2.0,-2.0,-45.0
0,0,0,2,0.0,0.0,0.0,2.0,-3.141593,2.0,-2.0,-45.0
0,0,0,3,0.0,0.0,0.0,2.0,-3.141593,2.0,-2.0,-45.0
0,0,0,4,0.0,0.0,0.0,2.0,-3.141593,2.0,-2.0,-45.0
1,0,1,1,0.1,-1.27062,-180.0,0.0,9.424778,2.0,-2.0,135.0
1,0,1,2,0.1,-1.27062,-180.0,0.0,9.424778,2.0,-2.0,135.0
1,0,1,3,0.1,-1.27062,-180.0,0.0,9.424778,2.0,-2.0,135.0
1,0,1,4,0.1,-1.27062,-180.0,0.0,9.424778,2.0,-2.0,135.0
2,0,2,1,0.1,-1.27062,-0.0,2.0,-3.141593,2.0,-2.0,-45.0
2,0,2,2,0.1,-1.27062,-0.0,2.0,-3.141593,2.0,-2.0,-45.0
2,0,2,3,0.1,-1.27062,-0.0,2.0,-3.141593,2.0,-2.0,-45.0
2,0,2,4,0.1,-1.27062,-0.0,2.0,-3.141593,2.0,-2.0,-45.0
3,0,3,1,0.2,-2.541241,-180.0,0.0,9.941402,2.0,-1.540202,142.4001
3,0,3,2,0.2,-2.541241,-180.0,0.0,9.956846,2.0,-1.527937,142.6213
3,0,3,3,0.2,-2.541241,-180.0,0.0,9.847577,2.0,-1.616325,141.0562
3,0,3,4,0.2,-2.541241,-180.0,0.0,9.709045,2.0,-1.734176,139.0718
4,0,4,1,0.2,-2.541241,58.0804,0.978204,-4.691465,2.0,-1.540202,-95.6803
4,0,4,2,0.2,-2.541241,59.0095,0.948372,-4.737797,2.0,-1.527937,-96.3882
4,0,4,3,0.1,-2.541241,15.2246,0.0,-8.957136,-2.0,-1.602982,-156.5128
4,0,4,4,0.1,-2.541241,7.2873,0.0,-8.29127,-2.0,-1.720833,-146.5781
5,0,5,1,0.304092,-2.821139,149.2793,0.0,11.56949,2.0,-2.0,165.7207
5,0,5,2,0.296119,-2.804354,147.5537,0.0,11.689954,2.0,-2.0,167.4463
5,0,5,3,0.1,-2.541241,-137.9815,0.0,-12.358225,2.0,2.0,-177.0185
5,0,5,4,0.1,-2.541241,-107.7675,0.0,10.665183,2.0,2.0,152.7675
6,0,6,1,0.304092,-2.821139,92.1622,0.0,-9.575729,2.0,-2.0,-137.1622
